"Source:","/home/nikolasf/Dokumente/01_git/70_PCBs/LCB-CBB-01_Bus_Board/LCB-CBB-01/LCB-CBB-01.kicad_sch"
"Date:","2024-05-18T19:11:30+0200"
"Tool:","Eeschema 8.0.2"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","50"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Datasheet","Description","Footprint","Manufacturer","Mfr. No","Mouser No","Sim.Enable","manf#","mouser#"
"1","2","ACCESSORY1, ACCESSORY2","ACCESSORY_BusBoard_SPI_Cable","LEA_SymbolLibrary:ACCESSORY_BusBoard_SPI_Cable","","https://www.molex.com/en-us/products/part-detail/151340805","","https://www.molex.com/en-us/products/part-detail/151340805","","","Molex","","","","15134-0805","538-15134-0805"
"2","12","C1, C2, C3, C4, C7, C8, C10, C11, C14, C15, C18, C19","100n","LEA_SymbolLibrary:C_0603_100n_X5R_10P__50V","LEA_FootprintLibrary:C_0603","","","","Capacitor 0603","LEA_FootprintLibrary:C_0603","TDK","","","","C1608X5R1H104K","810-C1608X5R1H104K"
"3","2","C5, C6","47n","LEA_SymbolLibrary:C_0603__47n_X7R_10P__50V","LEA_FootprintLibrary:C_0603","https://www.mouser.de/datasheet/2/281/1/GCM188R71H473KA55_01A-3144223.pdf","","https://www.mouser.de/datasheet/2/281/1/GCM188R71H473KA55_01A-3144223.pdf","Capacitor 0603","LEA_FootprintLibrary:C_0603","murata","","","","GCM188R71H473K55D","81-GCM188R71H473K55D"
"4","6","C9, C12, C13, C16, C17, C20","2u2","LEA_SymbolLibrary:C_0603__2u2_X5R_10P__35V","LEA_FootprintLibrary:C_0603","","","","Capacitor 0603","LEA_FootprintLibrary:C_0603","TDK","","","","C1608X5R1V225K","810-C1608X5R1V225K"
"5","1","C21","10n","LEA_SymbolLibrary:C_0603__10n_X7R_10P__50V","LEA_FootprintLibrary:C_0603","","","","Capacitor 0603","LEA_FootprintLibrary:C_0603","TDK","","","","CGA3E2X7R1H103K","810-CGA3E2X7R1H103K"
"6","1","C22","10u","LEA_SymbolLibrary:C_0603__10u_X5R_10P__25V","LEA_FootprintLibrary:C_0603","","","","Capacitor 0603","LEA_FootprintLibrary:C_0603","Murata","","","","GRM188R61E106KA3D","81-GRM188R61E106KA3D"
"7","1","D1","2mA","LEA_SymbolLibrary:LED_0603_G_2mA_APTD1608LCGCK ","LEA_FootprintLibrary:LED_0603_G","https://www.mouser.de/datasheet/2/216/APTD1608LCGCK-1102124.pdf","","https://www.mouser.de/datasheet/2/216/APTD1608LCGCK-1102124.pdf","LED 0603, Green, If 2mA, Vf 1.9V","LEA_FootprintLibrary:LED_0603_G","Kingbright","","","","APTD1608LCGCK","604-APTD1608LCGCK"
"8","1","IC1","MEJ2S0305SC","LEA_SymbolLibrary:DCDC_3V3_5V0_MEJ2S0305SC","LEA_FootprintLibrary:SIP-7_Murata_MEJ1S0305SC","https://eu.mouser.com/datasheet/2/281/1/kdc_mej2-2941219.pdf","","https://eu.mouser.com/datasheet/2/281/1/kdc_mej2-2941219.pdf","Isolated DC-DC Converter. 3.3Vin, 5Vout, 2W","LEA_FootprintLibrary:SIP-7_Murata_MEJ1S0305SC","Murata","","","","MEJ2S0305SC","580-MEJ2S0305SC"
"9","2","IC2, IC3","ISO1042QDWVRQ1","LEA_SymbolLibrary:ISO_ISO1042QDWVRQ1","LEA_FootprintLibrary:SOIC127P1150X280-8N","http://www.ti.com/lit/gpn/ISO1042-Q1","","http://www.ti.com/lit/gpn/ISO1042-Q1","Isolated CAN transceiver, Automotive, 70-V bus fault protection and flexible data rate","LEA_FootprintLibrary:SOIC127P1150X280-8N","Texas Instruments","","","","ISO1042QDWVRQ1","595-ISO1042QDWVRQ1"
"10","2","IC4, IC5","ISO7741FQDWQ1","LEA_SymbolLibrary:ISO_ISO7741FQDWQ1","LEA_FootprintLibrary:SOIC127P1030X265-16N","http://www.ti.com/lit/gpn/iso7741-q1","","http://www.ti.com/lit/gpn/iso7741-q1","Automotive, High Speed, Robust EMC Quad-Channel Digital Isolators","LEA_FootprintLibrary:SOIC127P1030X265-16N","Texas Instruments","","","","ISO7741FQDWQ1","595-ISO7741FQDWQ1"
